name,state,website,domain,twitter,youtube,facebook,owner,medium,source,collection_date
KWHE,HI,http://www.kwhe.com/,kwhe.com,,,,LeSea,TV station,stationindex,2018-08-02 14:55:24.612585
WGVK,MI,http://www.wgvu.org/,wgvu.org,,,,Grand Valley State University,TV station,stationindex,2018-08-02 14:55:24.612585
KNIC-CD,TX,,,,,,Univision,TV station,stationindex,2018-08-02 14:55:24.612585
KTUU,AK,http://www.ktuu.com/,ktuu.com,,,,Schurz Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KTBY,AK,http://www.ktbytv.com/,ktbytv.com,,,,Coastal Television Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KYES,AK,http://www.kyes.com/,kyes.com,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KNIK-LP,AK,http://www.knik.com/,knik.com,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KAKM,AK,http://www.kakm.org/,kakm.org,,,,Alaska Public Telecommunications,TV station,stationindex,2018-08-02 14:55:24.612585
KTVA,AK,http://www.ktva.com/,ktva.com,,,,MediaNews Group,TV station,stationindex,2018-08-02 14:55:24.612585
KTPP-LD,AK,,,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KYUR,AK,http://www.youralaskalink.com/,youralaskalink.com,,,,Coastal Television Broadcasting Company,TV station,stationindex,2018-08-02 14:55:24.612585
KDMD,AK,,,,,,Ketchikan Television,TV station,stationindex,2018-08-02 14:55:24.612585
KCFT-LP,AK,Alaska Broadcast Television,alaska broadcast television,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KACN-LP,AK,,,,,,Dan Etulain,TV station,stationindex,2018-08-02 14:55:24.612585
KATN,AK,http://www.aksuperstation.com/,aksuperstation.com,,,,Smith Media,TV station,stationindex,2018-08-02 14:55:24.612585
KFXF,AK,http://www.tvtv.com/,tvtv.com,,,,Tanana Valley Television,TV station,stationindex,2018-08-02 14:55:24.612585
KUAC,AK,http://www.alaskaone.org/,alaskaone.org,,,,University of Alaska,TV station,stationindex,2018-08-02 14:55:24.612585
KTVF,AK,http://www.webcenter11.com/,webcenter11.com,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585
