city	facebook	google	network	state	station	twitter	website	broadcaster	source	collection_date
Portland	https://www.facebook.com/fox12oregon	https://plus.google.com/+fox12/posts		OR	KPTV	https://twitter.com/fox12oregon	http://www.kptv.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Las Vegas	https://www.facebook.com/FOX5LasVegas	https://plus.google.com/+fox5lasvegas/posts		NV	KVVU	https://twitter.com/FOX5Vegas	http://www.fox5vegas.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Phoenix	https://www.facebook.com/3TVPhoenix	 https://plus.google.com/100520067070040484429/about		AZ	KTVK	https://twitter.com/azfamily	http://www.azfamily.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Phoenix	https://www.facebook.com/CBS5AZ	https://plus.google.com/+cbs5az/posts		AZ	KPHO	https://twitter.com/CBS5AZ	http://www.kpho.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Kansas City	https://www.facebook.com/KCTV5	https://plus.google.com/102581627631672665167/posts		MO	KCTV	https://twitter.com/KCTV5	http://www.kctv5.com	Meredith	meridith.com	2018-08-02 14:55:24.612585
Kansas City	https://www.facebook.com/KCTV5	https://plus.google.com/102581627631672665167/posts		MO	KSMO	https://twitter.com/KCTV5	http://www.kctv5.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
St. Louis	https://www.facebook.com/news4stlouis	https://plus.google.com/116695237584128461090/about		MO	KMOV	https://twitter.com/KMOV	http://www.kmov.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Mobile	https://www.facebook.com/FOX10News	https://plus.google.com/+FOX10News/posts		AL	WALA	https://twitter.com/Fox10News	http://www.fox10tv.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Nashville	https://www.facebook.com/WSMVTV	https://plus.google.com/117143042785436999262/posts		TN	WSMV	https://twitter.com/WSMV	http://www.wsmv.com	Meredith	meridith.com	2018-08-02 14:55:24.612585
Saginaw	https://www.facebook.com/WNEMTV5	https://plus.google.com/112885388083179724826/posts		MI	WNEM	https://twitter.com/WNEMTV5news	http://www.wnem.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Atlanta	https://www.facebook.com/CBS46	https://plus.google.com/108253002347913386151/posts		GA	WGCL	https://twitter.com/cbs46	http://www.cbs46.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Atlanta	https://www.facebook.com/peachtreetv			GA	WPCH	https://twitter.com/peachtreetv	http://www.peachtreetv.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Greenville	https://www.facebook.com/foxcarolinanews	https://plus.google.com/107879763124265130501/posts		SC	WHNS	https://twitter.com/foxcarolinanews	http://www.foxcarolina.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Hartford	https://www.facebook.com/WFSB3	https://plus.google.com/+WFSB/posts		CT	WFSB	https://twitter.com/WFSBnews	http://www.wfsb.com/	Meredith	meridith.com	2018-08-02 14:55:24.612585
Springfield	https://www.facebook.com/westernmassnews			MA	Western Mass News	https://twitter.com/WMASSNEWS	http://www.westernmassnews.com	Meredith	meridith.com	2018-08-02 14:55:24.612585
Portland	https://www.facebook.com/fox12oregon	https://plus.google.com/+fox12/posts		OR	KPDX	https://twitter.com/fox12oregon	http://www.kptv.com/category/210090/pdx-tv	Meredith	meridith.com	2018-08-02 14:55:24.612585
