station	website	city	state	broadcaster	source	collection_date
WDVM	localdvm.com	Hagerstown	MD	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KRON	kron4.com	San Francisco	CA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KASW	yourphx.com	Phoenix	AZ	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WFLA	wfla.com	Tampa	FL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WTTA	wfla.com	Tampa	FL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KOIN	koin.com	Portland	OR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WNCN	cbs17.com	Raleigh	NC	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WKRN	wkrn.com	Nashville	TN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WISH	wishtv.com	Indianapolis	IN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WNDY	wndytv.com	Indianapolis	IN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KTVX	good4utah.com	Salt Lake City	UT	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KUCW	good4utah.com	Salt Lake City	UT	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WTNH	wtnh.com	Hartford / New Haven	CT	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WCTX	wtnh.com	Hartford / New Haven	CT	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WCMH	nbc4i.com	Columbus	OH	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WSPA	wspa.com	Spartanburg	SC	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WYCW	carolinascw.com	Spartanburg	SC	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KXAN	kxan.com	Austin	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KNVA	thecwaustin.com	Austin	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
