city	geo	network	state	station	website	broadcaster	source	collection_date
Abilene	Abilene-Sweetwater	cw	TX	KTXS-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Abilene	Abilene-Sweetwater	abc	TX	KTXS		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Abilene	Abilene-Sweetwater	metv	TX	KTES-LD		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Abilene	Abilene-Sweetwater	metv	TX	KTXS-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	Albany, GA	tbd	GA	WFXL-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	Albany, GA	fox	GA	WFXL	http://www.wfxl.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	Albany, GA	comet	GA	WFXL-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	Albany, GA	charge!	GA	WFXL-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	cbs	NY	WRGB	http://www.cbs6albany.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	tbd	NY	WRGB-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	comet	NY	WRGB-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	stadium	NY	WCWN-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	charge!	NY	WCWN-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	cw	NY	WCWN	http://www.cwalbany.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Albany	AlbanySchenectadyTroy, NY	cbs	NY	WCWN-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	stadium	TX	KVII-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	cw	TX	KVII-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	abc	TX	KVII	http://abc7amarillo.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	comet	TX	KVII-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	stadium	TX	KVIH-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	abc	TX	KVIH	http://abc7amarillo.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	cw	TX	KVIH-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Amarillo	Amarillo, TX	comet	TX	KVIH-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Austin	Austin, TX	telemundo	TX	KEYE-2	http://telemundoaustin.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Austin	Austin, TX	cbs	TX	KEYE	http://www.cbsaustin.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	stadium	CA	KBFX-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	comet	CA	KBFX-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	fox	CA	KBAK-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	tbd	CA	KBFX-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	charge!	CA	KBAK-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	cbs	CA	KBAK	http://bakersfieldnow.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bakersfield	Bakersfield, CA	fox	CA	KBFX	http://www.bakersfieldnow.com/kbfx	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	fox	MD	WBFF	http://www.foxbaltimore.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	cw	MD	WNUV	http://www.cwbaltimore.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	mytv	MD	WBFF-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	temp	MD	WBFF-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	antenna	MD	WNUV-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	tbd	MD	WBFF-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	comet	MD	WNUV-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	tbd	MD	WUTB	http://www.mytvbaltimore.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	charge!	MD	WNUV-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	temp	MD	WUTB-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	temp	MD	WUTB-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Baltimore	Baltimore, MD	temp	MD	WUTB-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	stadium	TX	KBTV-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	cbs	TX	KFDM	http://www.kfdm.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	cw	TX	KFDM-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	charge!	TX	KFDM-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	comet	TX	KBTV-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	tbd	TX	KBTV-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Beaumont	BeaumontPort Arthur, TX	fox	TX	KBTV	http://fox4beaumont.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	mytv	AL	WABM	http://www.wabm68.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	stadium	AL	WBMA-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	charge!	AL	WBMA-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	local	AL	WBMA-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	abc	AL	WBMA	http://www.abc3340.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	local	AL	WABM-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	abc	AL	WABM-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	cw	AL	WDBB	http://www.wtto21.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	comet	AL	WTTO-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	antenna	AL	WTTO-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	cw	AL	WTTO	http://www.wtto21.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	local	AL	WDBB-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	abc	AL	WDBB-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Birmingham	Birmingham, AL	tbd	AL	WTTO-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	tbd	ID	KYUU-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	charge!	ID	KBOI-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	cw	ID	KBOI-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	stadium	ID	KYUU-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	cw	ID	KYUU	http://www.cwtreasurevalley.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	cbs	ID	KBOI	http://www.kboi2.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Boise	Boise, ID	comet	ID	KYUU-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	stadium	NY	WNYO-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	mytv	NY	WNYO	http://www.mytvbuffalo.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	fox	NY	WUTV	http://www.wutv29.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	comet	NY	WNYO-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	charge!	NY	WUTV-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	get	NY	WNYO-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Buffalo	Buffalo, NY	tbd	NY	WUTV-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	metv	MT	KTVM-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	movies!	MT	KTVM-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	nbc	MT	KTVM		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	metv	MT	KDBZ-CD-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	nbc	MT	KDBZ-CD		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Bozeman	Butte-Bozeman	movies!	MT	KDBZ-CD-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	stadium	IA	KFXA-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	tbd	IA	KFXA-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	cbs	IA	KGAN	http://www.cbs2iowa.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	get	IA	KGAN-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	comet	IA	KGAN-3	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	charge!	IA	KFXA-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Cedar Rapids	Cedar RapidsWaterlooDubuque, IA	fox	IA	KFXA	http://fox28iowa.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	comet	IL	WICD-2	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	tbd	IL	WICD-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	abc	IL	WICD	http://www.wicd15.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	tbd	IL	WICS-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	cw	IL	WBUI	http://www.cw23tv.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	abc	IL	WICS	http://www.wics.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	charge!	IL	WICD-4		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	fox	IL	WRSP	http://www.foxillinois.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	fox	IL	WCCU	http://www.foxillinois.com	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	stadium	IL	WBUI-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	thistv	IL	WBUI-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	metv	IL	WCCU-2		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	antenna	IL	WCCU-3		Sinclair	sbgi.net	2018-08-02 14:55:24.612585
Champaign	ChampaignSpringfieldDecatur, IL	comet	IL	WICS-2	http://www.comettv.com/	Sinclair	sbgi.net	2018-08-02 14:55:24.612585
