city	collection_date	id	owner	source	state	station	station_info	subchannels	website
 New York City	2018-08-02 14:55:24.612585	" ""CBS 2"""	 CBS Corporation	stationindex	NY	WCBS	 Digital Full-Power - 349 kW	 2.1 WCBS/CBS, 2.2 Decades	http://newyork.cbslocal.com/
 New York City	2018-08-02 14:55:24.612585	" ""4 New York"""	 NBC Universal	stationindex	NY	WNBC	 Digital Full-Power - 200.2 kW	 4.1 WNBC/NBC, 4.2 NBC Cozi TV	http://www.nbcnewyork.com/
 New York City	2018-08-02 14:55:24.612585	" ""FOX 5"""	 Fox Television Stations	stationindex	NY	WNYW	 Digital Full-Power - 246 kW	 5.1 Fox, 5.2 Movies!, 9.2 WWOR/My Network TV	http://www.fox5ny.com/
 New York	2018-08-02 14:55:24.612585		 Island Broadcasting Company	stationindex	NY	WNYZ-LP	 Low-Power - 3 kW		
 New York City	2018-08-02 14:55:24.612585	" ""ABC 7"""	 ABC	stationindex	NY	WABC	 Digital Full-Power - 123 kW	 7.1 WABC/ABC, 7.2 Live Well HD, 7.3 Laff TV	http://www.abc7ny.com/
 Secaucus	2018-08-02 14:55:24.612585	" ""My 9"""	 Fox Television Stations	stationindex	NJ	WWOR	 Digital Full-Power - 170 kW	 9.1 WWOR/My Network TV, 9.3 Buzzr, 9.4 MundoMax	http://www.my9nj.com/
 New York City	2018-08-02 14:55:24.612585	" ""CW 11"""	 Tribune	stationindex	NY	WPIX	 Digital Full-Power - 7.5 kW	 11.1 WPIX/CW, 11.2 Antenna TV, 11.3 This TV	http://www.pix11.com/
 Newark	2018-08-02 14:55:24.612585	" ""Thirteen"""	 WNET.org	stationindex	NJ	WNET	 Digital Educational Full-Power - 9.3 kW		http://www.wnet.org/
 Manhattan	2018-08-02 14:55:24.612585		 K Licensee	stationindex	NY	WEBR-LD	 Digital Low-Power - 0.315 kW	 17.1 WEBR/GCN (Global Christian Network), 17.2 MBCD, 17.3 Radio Korea	
 Garden City	2018-08-02 14:55:24.612585		 WNET.org	stationindex	NY	WLIW	 Digital Educational Full-Power - 89.9 kW		http://www.wliw.org/
 New York City	2018-08-02 14:55:24.612585		 NYC Department of Information Technology & Telecommunications	stationindex	NY	WNYE	 Digital Educational Full-Power - 151 kW		http://www.nyc.gov/media
 New York City	2018-08-02 14:55:24.612585		 Ion Media Networks	stationindex	NY	WPXN	 Digital Full-Power - 100 kW	 31.1 Ion, 31.2 Qubo, 31.3 Ion Life, 31.4 Ion Shop, 31.5 QVC, 31.6 HSN	
 Middletown Township	2018-08-02 14:55:24.612585		 PMCM TV	stationindex	NJ	WJLP	 Digital Full-Power - 6.96 kW	 33.1 Me TV, 33.2 Justice Network	http://wjlp3.com/
