city	facebook	network	station	twitter	website	youtube	broadcaster	source	state	collection_date
New York	http://www.facebook.com/pix11news		WPIX	https://twitter.com/PIX11News	http://pix11.com/	http://www.youtube.com/user/wpix	Tribune	tribunemedia.com	NY	2018-08-02 14:55:24.612585
Los Angeles	http://www.facebook.com/ktla5		KTLA	http://twitter.com/@ktla	http://ktla.com/	http://www.youtube.com/user/ktla	Tribune	tribunemedia.com	CA	2018-08-02 14:55:24.612585
Chicago	http://www.facebook.com/wgnnews		WGN	http://twitter.com/@WGNNews	http://wgntv.com/	http://www.youtube.com/user/wgn	Tribune	tribunemedia.com	IL	2018-08-02 14:55:24.612585
Philadelphia	https://www.facebook.com/phl17		WPHL	https://twitter.com/phl17	http://phl17.com/	http://www.youtube.com/user/WPHL	Tribune	tribunemedia.com	PA	2018-08-02 14:55:24.612585
Dallas	https://www.facebook.com/NightcapNews		KDAF	https://twitter.com/NewsFixDFW	http://cw33.com/	http://www.youtube.com/user/kdaf	Tribune	tribunemedia.com	TX	2018-08-02 14:55:24.612585
Washington, D.C.	https://www.facebook.com/pages/DC50/65421276070		WDCW		http://dcw50.com/	http://www.youtube.com/user/DC50tv	Tribune	tribunemedia.com	DC	2018-08-02 14:55:24.612585
Houston	http://www.facebook.com/Kiah.Houston		KIAH	http://twitter.com/@NewsFixHouston	http://newsfixnow.com/	http://www.youtube.com/user/NewsfixHouston	Tribune	tribunemedia.com	TX	2018-08-02 14:55:24.612585
Seattle	http://www.facebook.com/q13foxnews		KCPQ	http://twitter.com/@q13fox	http://q13fox.com/		Tribune	tribunemedia.com	WA	2018-08-02 14:55:24.612585
Seattle	http://www.facebook.com/JOEtvSeattle		KZJO		http://joeswall.com/	http://www.youtube.com/user/JOEtvSEATTLE	Tribune	tribunemedia.com	WA	2018-08-02 14:55:24.612585
South Florida	http://www.facebook.com/SFLCW		WSFL	https://twitter.com/SFLCW	http://sfltv.net/		Tribune	tribunemedia.com	FL	2018-08-02 14:55:24.612585
